         1801071959 function calls (1801068537 primitive calls) in 425.219 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     7398    0.001    0.000    0.001    0.000 typing.py:1799(<genexpr>)
      200    0.000    0.000    0.001    0.000 typing.py:1307(__init__)
      172    0.001    0.000    0.001    0.000 {method 'read' of '_io.BufferedReader' objects}
      158    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:642(_get_cached)
      438    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:124(setdefault)
       84    0.000    0.000    0.001    0.000 _weakrefset.py:120(update)
        1    0.000    0.000    0.001    0.001 format.py:1(<module>)
      666    0.001    0.000    0.001    0.000 {built-in method posix.stat}
      438    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(release)
      337    0.000    0.000    0.001    0.000 _weakrefset.py:63(__iter__)
       75    0.000    0.000    0.001    0.000 typing.py:1773(__hash__)
        8    0.000    0.000    0.001    0.000 typing.py:2994(__new__)
        1    0.000    0.000    0.001    0.001 synchronize.py:1(<module>)
        1    0.000    0.000    0.001    0.001 getlimits.py:167(_register_known_types)
        1    0.000    0.000    0.001    0.001 _utils_impl.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _function_base_impl.py:1(<module>)
        1    0.000    0.000    0.001    0.001 scimath.py:1(<module>)
       13    0.000    0.000    0.001    0.000 typing.py:1762(copy_with)
      460    0.001    0.000    0.001    0.000 _inspect.py:65(getargs)
        1    0.000    0.000    0.001    0.001 numerictypes.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _monitor.py:1(<module>)
      172    0.001    0.000    0.001    0.000 {built-in method _io.open_code}
1051/1044    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x73fe27ed1380}
        6    0.000    0.000    0.001    0.000 getlimits.py:35(__init__)
        1    0.000    0.000    0.001    0.001 signal.py:1(<module>)
    11900    0.001    0.000    0.001    0.000 {built-in method unicodedata.east_asian_width}
       16    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
        1    0.000    0.000    0.001    0.001 _scimath_impl.py:1(<module>)
      438    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
        1    0.000    0.000    0.001    0.001 __init__.py:573(get_config_var)
      2/1    0.000    0.000    0.001    0.001 __init__.py:533(get_config_vars)
        1    0.000    0.000    0.001    0.001 __init__.py:461(_init_config_vars)
        8    0.000    0.000    0.001    0.000 typing.py:2975(_make_nmtuple)
       27    0.000    0.000    0.001    0.000 typing.py:1207(_generic_class_getitem)
       14    0.000    0.000    0.001    0.000 typing.py:1449(__ror__)
     4802    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
     4798    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
       63    0.000    0.000    0.001    0.000 _compiler.py:241(_optimize_charset)
      158    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1619(_get_spec)
       22    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1326(exec_module)
4794/4605    0.001    0.000    0.001    0.000 {built-in method builtins.len}
      200    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
       35    0.000    0.000    0.001    0.000 typing.py:1574(copy_with)
       36    0.000    0.000    0.001    0.000 getlimits.py:112(_float_to_str)
        1    0.000    0.000    0.001    0.001 _arraysetops_impl.py:1(<module>)
       22    0.001    0.000    0.001    0.000 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.001    0.001 __init__.py:477(StrFormatStyle)
        1    0.000    0.000    0.001    0.001 string.py:1(<module>)
        1    0.000    0.000    0.001    0.001 std.py:952(__init__)
      272    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
      212    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
        1    0.000    0.000    0.001    0.001 platform.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _polynomial_impl.py:1(<module>)
